,ids,mols,X,y
119,,O=C1Nc2ccccc2/C1=N/Nc1ncccc1[N+](=O)[O-],,4.74
120,,N#CC(C(=O)/C(=N/NC(=O)c1ccccc1O)C(C#N)c1ccc(Br)cc1)c1ccc(Br)cc1,,4.85
121,,COc1cc(C2C3=C(COC3=O)Oc3cc4c(cc32)OCO4)ccc1O,,6.390000000000001
122,,CCOC(=O)NC(=O)c1cn(CCCOC(=O)CCCCCCCCC(=O)OCCCn2cc(C(=O)NC(=O)OCC)c(=O)[nH]c2=O)c(=O)[nH]c1=O,,4.26
123,,COc1ccc2nc3ccc(OC)cc3c(SCCO)c2c1,,4.105
124,,O=C1C(Br)=CC2(C=C1Br)CCNC1=C2C(=O)c2ncccc2C1=O,,5.84
125,,C1=CN2C[n+]3ccc4ccccc4c3N=C2c2ccccc12,,5.76
126,,Cc1nn(CN(CCCCO)Cn2nc(C)cc2C)c(C)c1,,4.31
127,,C[C@@H](Oc1cc(-c2cn(C3CC4(CCNCC4)C3)nc2)cnc1N)c1c(F)ccc(Cl)c1Cl,,5.98
128,,CC12OOC(c3ccccc31)c1c2ccc2ccccc12,,5.43
129,,COc1cc(N(C)C)c(OC)cc1/C=C\c1ccnc2ccccc12,,5.15
130,,c1ccc(/N=C2\c3c(scc3)/C(=N/c3ccccc3)c3c2scc3)cc1,,5.693333333333334
131,,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/CCOC(=O)c5cccc6cc7ccccc7nc56)CC[C@@H]4[C@H]3CC[C@@]21C,,4.55
132,,CCCc1c2-c(nc3ccccc23)nc2ccccn12,,4.08
133,,Cc1cc(NCCN(C(C)C)C(C)C)nc(NC(=N)Nc2ccc(Cl)c(C(F)(F)F)c2)n1,,6.45
134,,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc2c1,,4.83
135,,C=C(Cn1c2ccccc2c(=O)c2ccccc21)c1ccc(C(=O)Nc2ccccc2N)cc1,,4.545
136,,O=C1CC(CC(OCc2ccccc2)C(OCc2ccccc2)C(COCc2ccccc2)OCc2ccccc2)CC(=O)N1,,4.0
137,,CCC[As](CCC)SCC(O)CO,,6.199999999999999
138,,COc1cc(-c2nc3ccccc3s2)ccc1NC(=O)COc1ccc(Cl)cc1,,5.51
139,,Cc1c(CO)c2ccccc2[nH]1,,4.42
140,,CCOC(=O)C(C)Sc1nnc(COc2ccccc2OC)n1-c1ccccc1,,4.0
141,,NCCn1c2c(C(=O)c3ccccc3-2)c2ccccc2c1=O,,7.255
142,,O=C(CSc1nc2ccccc2nc1-c1ccccc1)Nc1ccc(Cl)cc1,,4.5
143,,CC1C(NNc2ccccc2)Oc2cc3c(cc2C1c1ccccc1O)OCO3,,5.53
144,,CN(CCCNC(=O)c1c2ccc3ccccc3c2nn1C)CCCNC(=O)c1c2ccc3ccccc3c2nn1C,,4.905
145,,CC(C)(C)c1cc(C=C2C(=O)C=CC2=O)cc(C(C)(C)C)c1O,,4.640000000000001
146,,COc1cc2c(-c3ccc(SC)cc3[C@H](OC(=O)c3ccccc3)CC2)c(OC)c1OC,,6.91
147,,O=C1C(Nc2cccc(O)c2)=C(Sc2ccccc2)C(=O)N1Cc1ccccc1,,5.42
148,,CC(C)C(=O)Cc1ccc2ccccc2n1,,4.0
149,,COc1ccc(CCc2nc3cc(-c4c(C)onc4C)ccc3n2CCN2CCOCC2)cc1,,4.35
150,,CCCSc1ccc2[nH]c(N3C(=O)/C(=C/c4ccc(SC)cc4)N=C3c3ccccc3)cc2c1,,4.71
151,,Cc1cc(C)nc(NS(=O)(=O)c2ccc(NNc3c4cccc(C(=O)Nc5ccc(S(=O)(=O)NC(=N)N)cc5)c4nc4ccccc34)cc2)n1,,4.0
152,,O=C1c2cccc(NCC/N=C/c3cc(O)ccc3O)c2C(=O)c2c(NCC/N=C/c3cc(O)ccc3O)cccc12,,5.82
153,,COc1ccc(N2CCN(CC(=O)N3CCN(c4nnc(-c5ccc(Cl)cc5)c(-c5ccc(Cl)cc5)n4)CC3)CC2)cc1,,4.93
154,,CC(=O)Nc1ccc(S(=O)(=O)N2C(=O)CCC2C(=O)Nc2ccccc2)cc1,,6.145
155,,COc1cc(-c2c(-c3ccc4OCCOc4c3)[nH]nn2)cc(OC)c1OC,,7.64
156,,CCOC(=O)c1c2CC[C@H](NC(=O)C(F)(F)F)C(=O)c3c2c(ccc3)[nH]1,,4.54
157,,COc1ccc2c(c1)C(=O)c1c-2c(N2CCN(C(=O)CCNCCNCCN)CC2)nc2ccccc12,,5.02
158,,CC(=O)Oc1ccc2c3c1[C@H]1O[C@H]1c1cccc(c1-3)[C@@H]1O[C@H]21,,5.135
159,,O=C(O)C1C=CCN1C(=O)C1C=CCN1C(=O)C1C=CCN1,,4.0
