DeepBio_id,smiles,sweet
138,CCCCOC(=O)CC(C)C,1
187,Cc1cccc(C)c1O,1
200,CC(=O)OCC1CCCO1,1
245,COc1ccc(CC(C)=O)cc1,1
166,CCOC(C)=O,1
178,CCCC(=O)OCC(C)C,1
163,OC(=O)CCNC(=O)Nc1ccc(cc1)[N+]([O-])=O,1
238,CCCCCCCCCCCCC=O,0
280,CC(C)C(=O)OC(C)(C)CCc1ccccc1,1
20676,CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1OP(O)(O)=O)n1cnc2c(N)ncnc12,0
378,CC(=O)OCC=Cc1ccccc1,1
272,COc1cc(C=O)ccc1OC(C)=O,1
376,CCCCCCCC=CC(O)=O,1
377,CCOC(=O)C=Cc1ccccc1,1
329,CCCCCCCCCCOC(=O)CCC,1
302,CC1OC(=O)C(O)=C1C,1
310,OCC(O)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1O,1
333,CCCCCC(=O)CC,1
309,COC1OC(C)C(O)C(O)C1O,1
397,CC(=C)C1CCC(C=NO)=CC1,1
350,COC(=O)C=Cc1ccccc1,1
394,CCCC=CC(=O)OCC,1
382,CCOc1ccc(C=CC)cc1O,1
360,COc1cc(C=CC)ccc1O,1
274,CCC(=O)OC1CCCCC1,1
323,COc1cc2c(cc1OC1OC(CO)C(O)C(O)C1O)occ(-c1ccc(O)cc1)c2=O,0
320,CC(C)=CCCC(C)(O)C1CCC(C)=CC1=O,1
349,O=CC=Cc1ccccc1,1
348,CC(C)CC(=O)OC(C)(C)C1CCC(C)=CC1,0
306,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl,1
368,CC12CCCC(C)(C1CCC13CC(=C)C(C1)(CCC23)OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OC(CO)C(O)C(O)C1O)C(O)=O,1
277,CCCCCCCCC(=O)OCC=C,1
383,CC(C=O)=Cc1ccccc1,1
287,CCCCCC(=O)c1ccco1,1
346,COc1cc(C=O)ccc1OC(=O)C(C)C,1
275,CCCCCC(=O)OCCc1ccccc1,1
339,CC(C)=CCCC(C)=CCCC(C)=CCO,1
318,CC12CCCC(C)(C1CCC13CC(=C)C(C1)(CCC23)OC1OC(CO)C(O)C(O)C1O)C(=O)OC1OC(CO)C(O)C(O)C1O,1
373,CCOC(=O)C(C)=CC,1
271,CCCC(O)Cc1ccccc1,1
311,OCC1OC(OCC2OC(O)(CO)C(O)C2O)C(O)C(O)C1O,1
303,CC(NC(=O)C(N)CC(O)=O)C(=O)NC1C(C)(C)SC1(C)C,1
334,OC1C(CCl)OC(CCl)(OC2OC(CCl)C(O)C(O)C2O)C1O,1
1646,OC[C@]1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O,0
384,CC(C)=CCCC(C)(OC(=O)C=Cc1ccccc1)C=C,1
345,CC(C)COC(=O)CC(C)=O,1
308,COc1ccc(cc1O)C1CC(=O)c2c(O)cc(O)cc2O1,0
337,OC1COC(OC2COC(O)C(O)C2O)C(O)C1O,1
335,Cc1ccc2C(=O)NS(=O)(=O)c2c1,1
402,CCC(=O)C=CC1C(C)=CCCC1(C)C,1
273,CC1OC(=C)C(OC(C)=O)C1=O,1
341,CCC(C)C(=O)OCCc1ccccc1,1
319,CC=C(C)C(O)=O,1
278,CCCCCCCCCCCC(=O)Oc1ccc(C)cc1,1
324,OCC1OC(OC2(CO)OC(CCl)C(O)C2O)C(O)C(O)C1O,1
352,CC=CC=CC=O,1
321,CC12CCCC(C)(C1CCC13CC(=C)C(C1)(CCC23)OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C(O)=O,1
331,CCCC(=O)CC(=O)OCC,1
398,CC(C)C(=O)OCC=C(C)CCC=C(C)C,1
380,CCC=CCCOC(C)=O,1
301,CCC1=C(O)C(=O)CC1,1
332,CC12CCCC(C)(C1CCC13CC(=C)C(C1)(CCC23)OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C(=O)OC1OC(CO)C(O)C(O)C1O,1
354,CC(=O)C=Cc1ccccc1,1
316,CCC(=O)Oc1c(C)occc1=O,1
312,CC1CCC(C(C1)OC(C)=O)C(C)=C,1
286,Cc1ccc(C=O)s1,1
296,COc1cc(CO)ccc1O,1
288,CCCCC(=O)OCc1ccco1,1
294,CCCC(=O)OC(C)(CCC=C(C)C)C=C,1
389,CCC=CCC(=O)OC,1
281,CCOC(=O)CCc1ccco1,1
295,CC(OC(C)=O)c1ccccc1,0
369,CC1OC(OC2C(OC34CC5(CC3=C)CCC3C(C)(CCCC3(C)C(=O)OC3OC(CO)C(O)C(O)C3O)C5CC4)OC(CO)C(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,1
391,CC(C)C=C(C=O)c1ccccc1,1
385,CCCCCCOC(=O)C=CC,1
336,COC1CC(O)C(O)C(CO)O1,1
328,CCCCCCC(=O)OCCC,1
357,COc1ccc(C=CC=O)cc1,1
388,CCOC(=O)CC=CCC,1
365,CCCC=CCOC(C)=O,1
307,CC(C)COC(Cc1ccccc1)OCC(C)C,1
327,CCCCCCOC(=O)Cc1ccccc1,1
338,OCC1OC(O)(CO)C(O)C1O,1
330,CCCCCCCC(=O)OCCc1ccccc1,1
285,CC1CC(C)C(=O)C1=O,1
326,CCCOC(=O)Cc1ccccc1,1
363,CCCCCC(C=O)=Cc1ccccc1,1
300,CCCCC1CCCCC(=O)O1,1
366,COC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NCCC(C)(C)C,1
313,COc1cc(ccc1O)C1OCC(C)O1,1
213,CC1(C)C(CCC2(C)C1CCC1(C)C2C(=O)C=C2C3CC(C)(CCC3(C)CCC12C)C(O)=O)OC1OC(C(O)C(O)C1OC1OC(C(O)C(O)C1O)C(O)=O)C(O)=O,1
355,CC(C)=CCCC(C)=CC=O,1
390,CC(O)C=CC1C(C)=CCCC1(C)C,1
370,CC(C)C(=O)Oc1c(C)occc1=O,1
374,CCCC=CC=O,1
405,CC(=O)CCc1ccc(C)cc1,1
291,CCC(=O)SCC=C,1
344,CCC(C)C(=O)OC(C)C,1
358,COc1ccccc1C=CC=O,1
293,CC(=O)CCc1ccc2OCOc2c1,1
361,COc1cc(C=CC)ccc1OC(C)=O,1
297,CC1(C)CC(=O)CC(=C)C1=O,1
279,CCCCCCCC(=O)OC(C)(CCC=C(C)C)C=C,1
325,CC(C)CC(=O)Cc1ccccc1,1
404,CC(O)C=CC1=C(C)CCCC1(C)C,1
362,CC(=O)C=Cc1ccco1,1
367,CC(C1CCC2C3CC(=O)C4CC(CCC4(C)C3CCC12C)OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O)C1CCC(C)C(OC2OC(C)C(O)C(O)C2O)O1,1
386,CCCCCCC=CC(=O)OC,1
298,Oc1ccc(C=C)cc1,1
395,CCC=CCCOC(=O)C(C)CC,1
364,CC(C)COC(=O)C=Cc1ccccc1,1
399,CC=CC(=O)C1=C(C)C=CCC1(C)C,1
403,CCC=CCCOC(=O)c1ccccc1N,1
284,CC1CC(=O)C(=O)C1C,1
396,CCC=CCCOC=O,1
356,CC=CC=CCO,1
292,CCOC(=O)C(C)CC=C,1
372,CCCCCC=CC=CC(=O)OCC,1
375,CC(=O)C=CC1C(C)=CCCC1(C)C,1
282,CCCCCCOC(=O)CC(C)C,1
392,CCC=CCCOC(=O)C(C)O,1
289,CCCCCCOC(=O)c1ccco1,1
379,CCCC(=O)OCC=C(C)CCC=C(C)C,1
353,CC(C)=CCCC(C)=CCO,1
299,CC(C)OC(=O)Cc1ccccc1,1
283,CCCCCCC1CC(CO1)OC(C)=O,1
400,CC=C(C)C(=O)OCC(C)C,1
304,CC(O)C(N)C(O)=O,1
393,CCCCCC=CC(=O)OC,1
387,CCOC(=O)C1OC1(C)c1ccc(C)cc1,1
342,CCCCCCCCCC1CCCC(=O)O1,1
314,CCOc1cc(ccc1O)C1OCC(C)O1,1
