NSC #,LC:A549/ATCC,smiles
106648,4.34,COc1ccc([N+](=O)[O-])cc1[I+]c1cc([N+](=O)[O-])ccc1OC.[Br-]
10667,6.8,CCCCN(CCCC)c1ccc2nc3c(C)cc(N(CC)CC)cc3[s+]c2c1.[Cl-]
106677,4.0,C/C=C1/C[C@@H](C)[C@@](C)(O)C(=O)OCC2=CC[N+]3([O-])CC[C@@H](OC1=O)[C@@H]23
106723,5.01,O=C(N/N=C/c1ccccc1O)C(O)(c1ccccc1)c1ccccc1
106859,5.47,CC(=O)OCCC/C(=C\c1ccc2ccccc2c1)[N+](=O)[O-]
106907,4.4,O=C(Nc1cccc2ccccc12)N(CCBr)CCBr
106909,5.82,C[C@]12CC[C@@H]3c4ccc(Oc5nc(N6CC6)nc(N6CC6)n5)cc4CC[C@H]3[C@@H]1CCC2=O
106969,5.97,COc1ccc(-c2oc3cc(O)c(OC)c(O)c3c(=O)c2OC)cc1O
106995,6.4,COC(=O)c1ccc(O)c2nc3c(C=O)c(O)cc(O)c3nc12
107043,5.51,COc1ccc(NC2=CC(=O)C(=O)c3ccccc32)nn1
107124,7.308888888888889,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1
107129,4.66,CC12CCC(O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12
10721,4.0,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC1CCCC1
107237,5.31,Clc1ccc2c(c1)N(C1CCCN(Cc3ccccc3)C1)c1ccccc1S2.O=C(O)/C=C\C(=O)O
107392,4.34,NC(=S)N/N=C/c1ccc(O)cn1
107413,4.5,O=C1C=C2C=CC3CC2(O1)C1CCCCN31
107432,4.51,COc1ccccc1N1CCN(CCc2c[nH]c3cc4c(cc23)OCO4)CC1.O=C(O)[C@H](O)[C@@H](O)C(=O)O
107512,6.9,N=C(NO)c1cn(C2OC(CO)C(O)C2O)c2ncnc(N)c12
107529,5.785,N=C1C=CC(=C(c2ccc(N)cc2)c2ccc(N)cc2)C=C1.O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O
107658,5.537499999999999,C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)/C=C/[C@H](O)CCC[C@@H](C)C/C=C/[C@H]3[C@@H]1O
107660,9.09,*C(=O)NC1C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC1C.*C(=O)NC1C(=O)NC(C(C)C)C(=O)N2CCCCC2C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC1C.Cc1c2oc3c(C)cccc3nc-2cc(N)c1=O
107680,4.26,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC(=O)C(C)(C)C
107818,5.53,O=C(Nc1ccc(Cl)c(Cl)c1)O/N=C\c1c(Cl)ccc([N+](=O)[O-])c1Cl
108018,5.22,CN1C(=O)c2c(ccc3c2OCO3)C2C(O)Cc3cc4c(cc3C21)OCO4
108165,5.01,CN1CCN(CC/C=C2\c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1
108225,4.0,CN(C)CCSS(=O)(=O)O
10848,4.14,O=c1oc2c(ccc3c(O)cccc32)c2c1CCCC2
108608,4.0,NCC1OC(n2cnc3c(=O)[nH]c(N)nc32)C(O)C1O
